,Seq1,Seq2,Seq3,Seq4,Seq5,Seq6,Seq7,Seq8,Seq9,Seq10,Seq11,Seq12,Seq13,Seq14,Seq15,Seq16,Seq17,Seq18,Seq19,Seq20,Seq21,Seq22,Seq23,Seq24,Seq25,Seq26,Seq27,Seq28,Seq29,Seq30,Seq31,Seq32,Seq33,Seq34,Seq35,Seq36,Seq37,Seq38,Seq39,Seq40,Seq41,Seq42,Seq43,Seq44,Seq45,Seq46,Seq47,Seq48,Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65,Seq66,Seq67,Seq68,Seq69,Seq70,Seq71,Seq72,Seq73,Seq74,Seq75,Seq76,Seq77,Seq78,Seq79,Seq80,Seq81,Seq82,Seq83,Seq84,Seq85,Seq86,Seq87,Seq88,Seq89,Seq90,Seq91,Seq92,Seq93,Seq94,Seq95,Seq96,Seq97,Seq98,Seq99,Seq100,Seq101,Seq102,Seq103,Seq104,Seq105,Seq106,Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123,Seq124,Seq125,Seq126,Seq127,Seq128,Seq129,Seq130,Seq131,Seq132,Seq133,Seq134,Seq135,Seq136,Seq137,Seq138,Seq139,Seq140,Seq141,Seq142,Seq143,Seq144,Seq145,Seq146,Seq147,Seq148,Seq149,Seq150,Seq151,Seq152,Seq153,Seq154,Seq155,Seq156,Seq157,Seq158,Seq159,Seq160,Seq161,Seq162,Seq163,Seq164,Seq165,Seq166,Seq167,Seq168,Seq169,Seq170,Seq171,Seq172,Seq173,Seq174,Seq175,Seq176,Seq177,Seq178,Seq179,Seq180,Seq181,Seq182,Seq183,Seq184,Seq185,Seq186,Seq187,Seq188,Seq189,Seq190,Seq191,Seq192,Seq193,Seq194,Seq195,Seq196,Seq197,Seq198,Seq199,Seq200
Sample1,104.568522,120.5433115,111.6110125,114.0716149,155.9251092,47.07148756,83.21074274,62.2428688,105.9678608,80.68571501,117.6964286,81.8,72.79642862,105.285715,48.46786083,64.1428688,125.9107427,87.47148756,78.62510924,122.8716149,83.41101255,98.94331152,125.868522,108.6866554,71.29772406,46.7017413,48.9987216,40.38868037,89.47163406,98.04760009,30.71659687,88.17864376,73.53376109,83.1819701,22.92329296,96.05775276,98.78537347,73.60617991,118.6201978,70.52745362,21.02797476,101.3217894,110.6089264,104.0894154,67.76328702,125.9305723,130.7913031,83.645512,86.7932322,74.63449755,116.6693425,133.1978022,78.01991226,55.33570888,88.64522882,110.2485094,111.2455883,128.7365038,88.3212947,69.8,74.4726593,91.73931253,74.9,91.55476238,84.30364066,148.9466761,164.5839104,84.9153854,85.44114316,112.2612261,71.77567673,92.08453788,61.58785248,107.7856636,43.4780146,146.6649488,23.7465096,46.72274069,133.9936857,116.7593883,132.5198924,92.67524158,124.2254798,111.4706508,130.5107983,93.24596627,142.8761983,103.701538,66.52202905,66.23771498,109.2486392,135.654845,105.0563757,77.8532743,97.64558378,146.1333469,94.51660646,88.69540481,76.16978432,68.43978713,110.5054552,84.96683023,27.62395381,52.67686727,48.32561171,87.97022801,85.61075684,120.7472386,92.67971348,99.60822138,21.03280197,84.55349466,68.07033859,80.98337262,34.39263537,22.59816515,69.7,85.99817769,60.19273568,104.3837112,52.27114102,55.95506185,7.935509964,111.2125214,46.08613172,85.95637646,72.22329068,103.0869092,76.14726639,120.7043966,30.55833352,52.60911085,98.75676181,112.8013193,99.64281608,87.18128436,52.71675621,111.4492633,116.5788372,94.00550878,128.529309,36.55026825,67.66841679,38.08378447,114.5964009,65.50629525,122.3134966,78.51803362,75.11993465,92.8192278,83.51594084,46.61010127,110.7017363,-4.809127173,95.27753749,42.96175663,140.5435563,122.2229623,150,76.37469475,97.34707143,117.7171547,8.38496898,52.15053835,83.01388668,121.1750375,64.73401426,91.69083989,94.14553725,39.89812886,21.84863701,71.79708375,92.04349084,62.78787984,93.13027203,92.17068845,86.00914992,67.64567699,24.58029001,109.0130091,42.84385404,22.27284454,83,77.52533959,104.6488823,111.2706468,29.09065169,49.40891525,-0.474544422,8.840290559,46.35343787,126.564915,106.5747392,137.1829275,68.78949677,95.69446373,144.3978448,105.1996564,153.9999144,-22.80136518
Sample2,72.46542753,65.44075201,97.90893783,143.2699745,80.82385262,156.9705639,68.61010101,100.042458,125.6676297,82.48561226,93.19640292,85.9,99.29640292,118.6856123,65.76762967,121.342458,50.51010101,65.67056386,84.92385262,105.9699745,67.60893783,90.24075201,80.16542753,104.9829759,62.1934099,107.3967431,91.59299016,92.88216697,47.16429027,59.73937786,61.80744852,81.96852205,83.82261917,100.1697616,87.60997196,132.9432738,125.8696916,34.58925076,74.10197741,93.00789867,104.0070424,102.1994374,106.7851131,39.76409989,44.53642872,92.20213139,73.86124041,30.51378896,64.0598109,53.19934074,145.6324136,66.95906527,131.979332,94.79325085,50.70085911,69.3021948,92.6972964,91.68620284,112.0689535,81.7455883,55.21614742,55.68067154,49.73920168,64.2917792,66.83844583,138.4792436,121.3142147,105.4434019,106.6668479,39.98459574,33.49668878,60.50317044,129.6040844,136.9994744,104.8893844,79.67385844,58.95294073,75.62667548,141.795107,102.4582797,116.416238,58.36902622,152.5166889,132.6592705,97.49681532,83.42936782,90.2569723,65.97967302,67.09751418,129.8105399,52.5187941,126.6223208,98.2211636,104.6153663,32.20497228,22.89002494,47.67056742,74.74664274,114.8182937,8.785562944,41.04849289,53.30712576,124.8615036,46.01166807,58.25766086,80.59952324,74.43729629,80.77102084,47.70073746,33.82648648,79.84830795,49.46624165,104.5803271,61.2906035,97.79710985,63.79988479,75.89896671,112.9943937,79.98620351,45.77443368,105.3591214,72.24030351,55.01801665,59.69229708,66.66318078,36.9307034,81.89490029,82.0558065,78.41345674,107.0678854,91.81912668,23.46721426,48.11218163,79.85406195,29.99288807,140.9286925,105.8615074,28.5913648,19.91829616,55.24233278,76.06350562,81.78184532,103.9973822,88.11014633,98.02016738,15.92747477,81.8320976,88.53406468,47.4334045,71.73014525,64.12431483,99.31594084,76.30505057,38.99167104,43.67582895,41.25755073,69.53686252,125.6137902,40.18835921,67.16059496,111.9305224,62.49816627,49.063551,38.72670076,95.48763946,27.04639073,83.20297793,10.15742416,94.00975225,27.85998479,50.8081441,104.8542522,47.19833099,67.14040195,50.38048642,9.418605456,27.05477989,76.0890303,104.521377,64.05184018,-1.319560369,104.107195,37.13212575,122.255251,62.87658979,24.09616079,60.51398254,77.03007335,75.7444513,89.75713427,43.06813993,48.67748572,117.8851889,36.19126654,83.39573546,84.29861232,71.09991357,111.1996555,112.1978541,105.8945253
Sample3,130.7622884,106.5381555,133.8068331,91.76831043,123.3225778,46.8696268,129.80945,89.64204116,65.66739516,88.38550801,149.2963769,100.3,129.5963769,122.085508,98.36739516,121.5420412,107.40945,73.4696268,104.9225778,90.16831043,128.5068331,122.6381555,45.26228837,132.5792434,75.68903362,110.7916729,111.6871764,96.17556011,37.45684123,66.13103794,112.2981694,106.3582559,134.7113185,107.6573794,120.4964618,119.3285896,116.9537879,117.2720825,104.5835003,80.68806869,64.48581632,58.97677245,65.4609672,92.33843146,83.10919692,95.47329596,86.33076175,81.48162811,123.4259296,130.0637013,128.1949792,134.0197996,92.13819951,99.35021664,58.65588909,145.1552555,101.4483552,123.7352276,43.51591308,89.19045206,72.95888555,44.62125494,73.27760198,143.0279688,66.97239771,99.21093158,106.5436134,131.4704865,37.89159434,93.40698079,146.5166898,158.9207656,110.5192524,99.31219481,125.1996374,58.68162504,130.4582024,24.32941459,141.0953065,114.2559231,108.2113096,109.0615109,47.4065723,118.3465387,46.9814553,115.311367,132.9363186,62.65635525,106.9715216,75.48186224,82.78742188,48.98824495,63.88437576,72.17585851,83.36273723,130.5450558,81.82285787,51.49618701,91.66508651,88.1295995,120.6897689,38.14563739,67.69724745,84.14464133,43.58786102,32.42694828,109.8619446,69.69289129,24.31982926,121.2427993,67.06184174,42.57699686,104.5883045,32.89580425,62.69953542,72.89953704,75.9958478,76.18850613,113.7775501,162.3630176,49.34494605,86.32337265,74.49833428,135.0698675,68.63800853,154.6027933,39.96425745,30.52243623,111.6773646,69.02907722,42.9776084,97.22299215,105.8652621,27.40445174,83.24059396,23.17372154,118.4038669,117.931062,136.4553387,80.57672833,68.0952621,72.91097078,77.82388484,52.63403445,127.2414494,86.94615938,23.14819348,54.44758066,84.04434953,34.83852839,82.23014525,33.1192278,121.1058034,63.58989925,43.57154205,110.1507583,164.0275743,61.90201594,93.57410881,65.24387827,26.11134941,59.37654698,110.8394955,85.70021919,67.558742,139.0150876,133.7692794,63.62134051,102.9712938,54.11916198,33.56496729,98.80873184,104.1504775,124.1902258,16.42799809,118.9638155,47.89769876,93.42966855,95.0597452,123.0879488,80.01429928,51.03881623,121.2615191,139.682427,19.60155898,46.81893372,13.83456975,9.848485362,41.96069863,99.27122742,92.08008937,82.48730194,147.1928824,155.1968477,33.59921466,10.9,104.0992201,132.5968912,74.19302936,100.7876504
Sample4,86.15910361,13.23552133,121.0046978,75.26662214,-39.37871555,71.36867608,79.40878949,52.74161828,40.26715722,94.18540224,99.69635041,121.3,59.49635041,140.1854022,97.76715722,55.94161828,117.7087895,100.8686761,72.42128445,-42.63337786,113.0046978,79.93552133,119.5591036,116.4754567,121.9845939,63.78652934,70.08127849,38.86885776,58.44928468,96.42257782,146.8887568,124.8478422,120.6998557,71.04481992,110.2827584,58.41369586,39.93765764,88.75467021,122.0647609,88.16795789,66.56429027,93.85378793,120.7364816,68.11240282,121.0815839,88.84405787,77.99985856,91.84902048,123.5915788,112.9275695,79.35702896,146.1799944,65.99650354,53.70659471,21.21030678,131.7076791,74.39875174,94.08356495,73.16215964,44.93457712,144.2008591,31.76104773,78.81518547,29.96331517,114.10548,34.04172349,132.7720894,98.89662166,65.21536468,51.92836292,109.6356611,119.9373041,109.433337,141.7238051,126.9087536,93.68822797,68.86227382,85.63093674,124.6942624,61.65229652,72.60508483,69.25267308,65.29510701,107.2324323,124.0646947,146.7919398,88.81421319,131.4315603,45.74402652,27.35165716,114.5544974,47.65259221,50.64598654,81.73472513,104.5188525,124.9984132,49.87345132,53.04401093,65.31013587,91.97186975,67.22925599,46.88233774,37.63115797,109.4757594,24.21618437,46.25247519,94.78467377,43.51282177,100.5369606,93.75713135,116.1733749,92.68573173,40.39424217,97.89894614,44.79988331,57.19709305,49.19061439,72.58048609,96.16674656,104.0494339,119.928586,65.30424023,109.2764338,121.2452035,110.4105859,59.97261714,56.1313331,71.78676929,134.0389609,90.18794288,32.33374969,130.6764156,77.01597444,75.55245981,81.08590494,60.41634271,94.94380571,108.8683262,95.98993603,-1.691333133,147.52455,119.9376162,50.24789635,135.0554206,61.76021892,110.762321,75.26175627,150.6585537,142.252742,73.14434953,109.4334045,80.81993465,109.6039675,131.4855302,141.1646496,71.74135239,95.41566478,68.48761277,94.85722208,58.3245181,90.08952596,41.4522705,58.61277627,29.67106754,57.0271683,144.7811023,119.7328929,27.18256335,120.1301365,77.77563509,122.3190814,129.0604975,101.3999054,-13.86267344,29.07278239,118.306294,107.9378821,-10.5324325,108.4953704,133.821311,75.34540915,61.76768448,70.28815641,56.20684413,59.82376657,58.93894248,36.05239034,56.66412845,85.47417486,120.3825474,101.3892638,25.09434136,133.3977974,46.69964882,1.099912511,154.1986051,80.99574287,126.1913422,35.38541892,150.977989
Sample5,131.9558722,77.63284853,-42.4974688,72.26490907,-32.7800279,49.9677114,115.5081193,-19.85881081,89.16691579,72.48529491,72.19632358,74.8,91.39632358,12.98529491,136.3669158,106.0411892,75.90811927,-29.5322886,63.8199721,88.76490907,32.5025312,-16.96715147,147.1558722,109.4716147,-6.019910701,-14.91868929,46.07529463,121.8620579,39.44161828,91.21399488,92.27920769,17.13727778,61.48822725,74.13207921,78.46885776,54.39858799,86.92129593,62.23700855,58.14575376,126.8475603,40.64245795,27.13047713,111.0116492,32.28600643,65.65358168,99.81440873,98.46852205,45.41595684,70.65674901,105.8909351,110.7185525,103.2396388,55.75423273,123.3623732,109.0640999,100.9594529,107.248473,136.0312012,91.70767915,98.57794898,108.1420531,71.00003451,99.15193633,139.5978022,114.9376761,105.0716022,138.1996251,131.7217895,133.7381405,23.34872337,61.05358352,110.9527666,88.1463184,135.4342849,45.51671207,86.09364618,62.46513343,98.63122015,102.6919527,122.7473775,102.497541,108.2424896,94.4822696,67.91692751,100.1465096,115.1710621,128.7906313,127.8052632,31.91500392,92.91989922,109.7199949,130.6153366,57.40596979,24.89193975,116.4732916,79.75007038,63.22232076,33.69008732,106.4534144,41.41234615,54.46692644,110.3171989,98.36320707,70.90499399,124.6426026,87.57607554,87.30545518,48.33078363,86.95210268,62.86945386,33.8828784,113.6924172,80.59811099,33.9,65.19812428,112.3925235,79.48323714,97.57030418,66.0537634,78.03365323,87.41001176,54.28287677,67.05228569,102.0182756,107.7808834,64.54014538,53.79609774,61.04877623,81.79821629,54.44445302,61.28752118,94.62745522,38.36428922,78.99805693,127.0287918,94.35652687,79.98129494,20.4031284,87.92205934,127.6381195,116.5513404,28.26175296,72.06938807,107.7742762,42.7764473,48.97593132,22.97275768,14.76695552,73.35855367,44.04758066,10.23406468,85.71803362,98.49951506,48.87853627,2.855124211,50.92930555,49.30110664,-5.729446448,135.937672,75.70248758,39.66502534,25.92531022,40.88336682,36.63921946,54.89289216,90.34440869,101.7937925,75.04106688,32.38625467,123.5293786,88.17046098,127.809524,122.5465896,84.98167928,144.7148145,50.04601623,136.2753054,67.00270272,17.3282284,79.25190262,22.97374525,62.39377593,66.71201406,127.3284788,18.24318915,95.15616377,49.96742117,120.1769796,45.58485714,100.9910716,136.9956406,93.29858156,44.89991166,25.69964789,84.99780703,43.29440566,18.78946017,43.58298674,85.17500135,105.5655198
Sample6,14.35259323,31.03013629,82.70033259,108.3631707,117.2186403,59.26673245,-9.292560861,72.34075374,4.366670781,77.785186,104.9962963,-21.2,106.1962963,104.685186,137.3666708,43.04075374,52.10743914,26.46673245,41.61864034,50.0631707,42.00033259,110.9301363,69.05259323,80.06771602,-21.02448157,99.17601538,50.26922293,147.6551582,87.93383962,91.20528645,92.66951918,40.32655936,134.9764296,15.41915339,108.3547555,114.4832614,103.1046978,99.21909223,129.9264731,141.4268699,94.92031286,89.30683314,57.98646276,116.6592345,91.82518214,149.18434,65.03674319,112.3824277,120.1214302,23.75378793,119.8795389,36.4987216,116.7113754,93.81753998,91.51725581,76.41056377,99.99750529,121.7781223,84.95245717,97.62055276,89.98245233,120.7381995,118.7878384,94.93141322,65.36896884,53.00055021,123.9262026,106.0459717,76.5599031,83.96804296,114.6704375,133.967133,24.35817606,84.7436134,66.12349178,83.09785811,60.16675936,155.9302426,70.4883548,66.64114316,95.68865478,49.43093674,47.96803614,117.3,77.32687532,83.248709,135.5655479,158.4774387,119.0844281,121.2865625,92.1838883,83.27645174,29.46429884,134.9474755,125.9260274,123,81.96943866,37.23438845,23.09489423,84.65100062,58.70275203,98.9501926,83.99336623,16.33231654,73.46708689,39.99772038,51.32425981,144.5467477,118.3652263,90.67973744,58.59032286,39.69702384,95.49988138,75.79893617,50.8942286,116.3857987,31.07368624,76.25793056,82.73857077,52.81564559,22.98919342,-1.640747673,44.62586004,110.5890539,111.5488711,38.70534813,66.05852149,117.2084272,111.3551008,104.2985778,74.23889309,96.17608132,21.81017679,80.84121346,110.9692249,22.4942445,42.51630507,115.3354392,127.2516793,13.36505705,88.87560416,75.38335186,22.18833104,67.59057227,94.2901058,131.0869615,46.08116908,95.97275768,0.661756273,148.2481935,31.2320976,43.31349661,94.49241818,23.96888966,46.34293809,58.4145902,99.48387244,10.15081091,59.71543146,33.6777596,141.8378206,36.99563929,52.45124044,62.90464836,159.3558871,113.0049805,89.05195209,112.296825,107.8396223,30.38036666,-7.080919549,46.55578585,79.09050474,114.9232588,93.75406926,76.88295737,37.80994395,99.8350496,78.25829469,88.47969933,101.7992834,57.81706654,43.53306814,0.147307357,33.75980314,65.47057417,101.8796389,-1.112984291,51.59272249,56.1967771,98.99919715,165,84.99920284,33.39682262,138.5928761,117.8873798,38.28035019,29.7718033,63.76175512,27.35022143
Sample7,78.34926553,106.0273837,74.19810128,130.7614064,115.1172887,75.6657389,104.7067489,95.4403118,148.7664221,134.3850755,78.39626871,60.4,129.5962687,113.5850755,154.3664221,80.7403118,78.40674886,85.4657389,43.41728874,83.76140644,59.29810128,-37.37261626,76.94926553,93.36375953,86.57087982,121.1706417,86.16306144,152.6481567,102.7259462,-47.00355025,141.8596882,23.11568356,11.76445893,64.40603843,67.24044719,141.8677114,100.3878582,15.70091575,63.30691312,65.40588033,152.8978483,152.6828488,115.1609146,138.9320792,146.3963769,93.35384273,88.40451271,137.1484234,121.9856123,51.31611723,44.93997707,80.05723115,48.66791945,84.27208255,142.8697616,109.4609983,94.34583487,111.824314,58.79647892,106.0623732,55.62204095,37.47552657,62.92287491,111.8641311,58.49934074,40.32854953,91.1518036,114.0691493,59.68063316,73.58630201,65.58620284,98.98038278,79.56888916,45.6517694,76.72907105,83.60084175,120.7671292,58.5279812,44.58344551,118.1335699,65.67840234,75.61799049,61.55238215,60.38162504,59.80576682,127.3248551,99.13893723,83.44806071,49.15227274,63.75162045,89.8461508,95.2359106,123.8209465,111.5013049,91.57703213,62.84817421,116.314777,111.5768861,98.53454691,78.18780458,100.336704,72.08128981,47.02160638,107.9576978,25.08960793,75.61738028,52.24105808,88.5606843,14.27630158,41.88795224,79.89567833,109.9995215,88.79952324,111.9957245,45.28816609,40.47688837,78.4619314,78.34333493,63.32113833,121.2953807,109.7661006,90.23333654,100.7971265,32.45750803,32.11451857,64.66819503,68.01857402,58.96569181,89.40958429,63.75028703,93.98783523,62.92226375,88.35360707,37.38189936,154.1071744,16.02946569,93.14880628,83.66522895,93.07876612,62.48944984,11.49731185,118.7023835,53.0046959,98.10427969,110.1011653,13.89538264,90.58696154,-5.124068677,16.56232103,30.74615938,117.8274748,54.60629525,60.28264859,21.75656221,63.62806323,134.9971785,101.8639344,42.42835723,16.49047283,88.35030679,32.30788439,95.76323061,12.11637015,98.66732741,83.0161265,41.86279124,44.50734518,127.3498116,61.69021341,8.428573399,43.86491398,52.19925731,67.3316253,71.46203958,-9.50947846,30.71709229,63.14177268,96.76458334,97.08554463,74.90467664,28.22199927,-2.162467878,65.2512946,79.36330584,93.97358478,3.182150088,43.68902024,76.59421346,30.69774776,78.09964093,78.49991055,119.298574,73.29564835,124.7911506,104.7850975,122.1775055,135.968391,96.75777003,159.9456586,86.43207239
Sample8,126.945888,-17.17541003,103.9958365,98.95961573,97.21591687,105.9647304,113.2060482,96.93986322,131.3661697,115.3849633,77.09624065,145.8,100.4962407,120.1849633,-28.83383028,62.63986322,-33.69395178,84.36473044,84.01591687,81.95961573,126.2958365,-33.97541003,65.64588804,78.1597439,89.76617195,58.76518778,9.556808167,85.64105106,71.21793558,-14.01251805,45.34971157,73.70464692,87.35231157,77.59273017,86.22592842,127.1519331,67.57077182,78.88247346,120.4870677,125.8845851,54.27505739,116.858517,-25.96500284,118.0045322,77.06715722,-8.277092044,82.07182107,98.61393394,79.44928468,32.0779121,111.9998557,105.8151556,113.7238526,110.0259881,117.421604,76.31074274,111.7934474,82.8697616,76.13972919,135.5033947,103.2608029,64.8119991,118.257029,118.0959384,85.82877384,95.55558179,146.0764092,66.5913031,100.800311,45.8034804,87.40085911,76.19249505,31.77843631,24.45873109,111.1334277,19.60257455,22.36622007,96.82441278,64.27720121,123.8246339,27.46675936,141.8036261,35.33528264,141.6617773,87.08315848,46.09947438,24.61077314,123.2171028,120.8185112,132.6150461,139.5067552,85.7936857,83.87588498,50.35340004,67.62627771,127.0945646,118.0583072,68.11755148,71.9723435,108.3227289,95.36875305,99.81046111,53.94789793,110.6811081,111.9101359,58.13502525,88.25581993,88.37256327,45.48529835,116.7940679,78.59891436,83.39987981,92.59700601,66.39033441,63.47990608,54.46576177,59.84794188,23.72648648,21.00143527,92.07282761,54.04070249,47.80509857,79.36605413,64.22360712,68.07779511,102.4286553,139.3762246,75.12053944,84.061636,126.9995501,90.33431702,44.46597197,130.3945496,69.52008422,65.34260987,69.76216015,105.5787684,118.1924674,89.30328986,91.81126795,100.1164335,77.61881816,89.41845297,53.01536883,116.4095962,33.20116526,75.6901058,105.8764473,38.26021892,40.54144945,116.2201674,88.09640086,29.77017773,34.3415255,84.01047135,17.77704216,75.74126449,61.80316458,135.8627684,54.72010152,72.67518932,155.7280568,40.77872876,31.52722956,93.47358337,148.717814,46.55994516,70.9,130.4380016,28.27397258,133.2079355,58.73991253,79.16992554,80.59799619,97.32414587,30.8483957,45.27076653,95.79127898,51.30995339,126.2268099,63.44186832,79.15514831,1.666669231,55.77645022,96.38451017,37.89086777,67.99554145,11.49854942,53.79990967,131.59964,46.49775786,39.49428068,58.98922555,87.78260937,86.97444883,-13.83523956,51.35356048,51.04086504,91.82669001,49.31105107
Sample9,92.04245963,130.7217541,81.79353757,106.657798,134.6145242,137.0637067,129.905337,101.2394078,93.46591349,110.2848494,64.49621218,94.9,65.59621218,121.4848494,65.76591349,92.93940785,92.30533697,87.26370673,128.8145242,112.957798,127.8935376,143.2217541,-9.857540367,105.8556678,104.8613933,127.459652,80.15046105,81.83383889,127.309805,72.07838013,65.53958608,103.6934459,114.8399835,92.17922433,108.8111945,-47.56407865,76.55343324,93.36375953,-46.53306944,85.26297765,95.45193305,58.43382993,107.3087023,77.67658523,121.1375144,-42.50847369,53.53865847,68.17894899,92.41243674,78.23916133,35.65916304,138.9724828,72.57916221,81.87924343,92.27276924,56.85978295,160.6403284,121.91445,88.58219242,34.44360107,142.7987216,19.64760009,78.89028302,112.1268172,155.4572497,91.98162811,140.3,100.0124134,103.0189164,80.0195575,72.11438522,60.80344832,78.58679565,77.46447621,77.73653908,63.30303343,79.46400848,32.11951349,42.06959772,119.1143105,109.553701,102.9878184,116.9167121,60.44043097,121.0590241,75.7725405,96.28102885,95.28453788,133.9831161,104.0768119,43.16567353,116.4497489,95.22908601,83.40373235,104.4737354,101.2391423,30.4,86.65635525,74.30825448,143.0557439,92.39886935,50.83767653,79.37221077,62.20251711,113.8286403,89.05062481,90.06851473,99.2823539,62.99218578,80.79805354,60,92.59806764,89.39229861,6.482734707,5.869417369,26.8523877,63.83168644,107.907354,79.27943032,13.14795516,72.41296778,53.67450713,55.73261178,50.48731993,9.138669434,88.08669776,94.131442,104.0729389,71.21122485,72.34633582,53.37830746,62.60717503,83.23297344,105.9557372,94.87550055,76.09229724,88.50616072,4.117124091,28.42522008,49.13048105,40.63293902,51.93262565,46.42957224,59.82380977,25.31536883,95.10427969,108.8905723,92.97427615,106.3554206,66.83403445,95.91014633,54.68378447,65.05497677,108.5237508,113.8901339,62.35415285,88.0158344,60.67520481,78.03229009,142.1871159,37.13970763,41.39009034,11.0382888,138.8843275,25.52823057,106.7700219,44.50972518,78.44736361,39.48296024,113.3165378,114.1481188,8.177725401,84.70537951,39.73110279,19.75491662,141.6768421,151.2969002,51.11511134,99.93149599,97.54607422,82.15886589,18.46989058,94.07916767,26.98671627,45.99255527,63.29670332,2.799178834,96.8,29.49918478,64.39675093,54.39271595,13.38709715,17.47991162,66.37117623,134.7609076,75.14912232,67.23583652,59.9210663,141.1048275,83.88713575
Sample10,105.7389792,3.218875024,44.39120365,131.0559525,126.0131104,100.2626674,57.40461488,133.9389455,154.9656534,67.38473371,47.09618326,87.8,-22.00381674,91.38473371,140.5656534,101.1389455,68.00461488,-11.73733259,150.0131104,85.25595252,114.6912036,101.618875,105.8389792,84.85152985,114.1565421,-17.94596768,139.744018,136.7265178,129.9015519,132.1691413,73.22930838,140.6820767,52.62747082,107.3655165,120.9962407,21.41967112,78.2358369,80.04476798,124.0464954,79.24105106,29.828468,100.70878,116.982022,104.8482295,61.90743914,68.55968819,79.80501484,106.943458,153.0750574,75.29985337,117.1178871,113.8292002,89.5338352,119.4318351,52.52324344,137.1081044,126.3864628,93.65836359,100.7238526,80.18297595,123.5357801,101.7823121,89.52261917,107.956749,148.6847496,85.10666918,59.72255633,84.93245984,89.33642872,124.3345122,66.32675962,96.11322059,105.4939448,56.06898193,92.13838196,73.4021948,81.66047046,43.11325895,43.7606103,125.3025745,24.73920168,66.27054164,33.09664433,66.11755956,71.83333704,22.04402637,47.64967705,116.1503384,55.44605961,79.73688971,106.4228775,46.40407172,71.98052071,90.95227274,122.9193758,82.98187766,133.0398258,56.49326753,152.1422498,114.2868193,38.12702251,94.06290553,98.4945142,42.52189406,81.34509033,49.56414791,35.67911136,69.19002494,80.59693254,111.4998778,78.59890378,96.39405351,125.5853694,59.47289378,83.6566683,42.83673446,115.7131333,109.9859056,26.55509171,15.22073154,59.28286471,46.94153046,91.39676765,39.24861474,34.89710985,44.6422907,71.18419464,86.02285864,77.7583193,10.29061284,62.91977512,76.14584159,27.46884737,130.3888272,60.40581534,66.61984588,90.7309524,61.83916814,112.044526,85.54705845,27.74679769,97.6437755,102.7380233,23.52957224,76.31845297,36.2046959,75.18833104,33.96938807,19.14789635,49.62388484,137.7973822,61.46841679,-5.862983454,84.40320914,81.06702189,66.0284818,51.88761554,125.4444495,84.39900965,88.05132179,63.6014113,102.5493033,44.29502257,11.23859365,74.98004071,94.71938768,133.2566582,73.99187547,102.4250627,100.3562425,125.9854374,13.11266963,121.7379611,84.1613334,69.08280798,60.40240592,49.92014809,64.23605508,96.25014723,49.36244463,66.1729671,76.38173423,126.6887654,60.59407964,49.19769586,120.2996327,108.5999085,27.59854148,106.6955495,21.29095041,97.38476157,69.37700029,109.3676836,52.55682842,71.9444513,30.53056869,85.7151968,90.49835165,66.18004905,1.660304617
